opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
simulated_annealing,min,1000,-1,3,18693816,18693816,-1,0.391431,-1.000000,0.342,1,20,20,euro-night-0000020
simulated_annealing,min,5000,-1,3,18693816,18693816,-1,0.391431,-1.000000,0.326,1,20,20,euro-night-0000020
simulated_annealing,min,10000,-1,3,18693816,18693816,-1,0.391431,-1.000000,0.347,1,20,20,euro-night-0000020
simulated_annealing,max,1000,-1,3,41934710,41934710,-1,0.878073,-1.000000,0.374,1,20,20,euro-night-0000020
simulated_annealing,max,5000,-1,3,41934710,41934710,-1,0.878073,-1.000000,0.436,1,20,20,euro-night-0000020
simulated_annealing,max,10000,-1,3,41934710,41934710,-1,0.878073,-1.000000,0.373,1,20,20,euro-night-0000020
simulated_annealing,min,1000,-1,3,699404,699404,-1,0.450519,-1.000000,0.425,1,25,25,uniform-0000025-2
simulated_annealing,min,5000,-1,3,699404,699404,-1,0.450519,-1.000000,0.425,1,25,25,uniform-0000025-2
simulated_annealing,min,10000,-1,3,699404,699404,-1,0.450519,-1.000000,0.423,1,25,25,uniform-0000025-2
simulated_annealing,max,1000,-1,3,1314194,1314194,-1,0.846534,-1.000000,0.772,1,25,25,uniform-0000025-2
simulated_annealing,max,5000,-1,3,1314194,1314194,-1,0.846534,-1.000000,0.665,1,25,25,uniform-0000025-2
simulated_annealing,max,10000,-1,3,1314194,1314194,-1,0.846534,-1.000000,0.608,1,25,25,uniform-0000025-2
simulated_annealing,min,1000,-1,3,20225012,20225012,-1,0.308063,-1.000000,0.465,1,25,25,us-night-0000025
simulated_annealing,min,5000,-1,3,20225012,20225012,-1,0.308063,-1.000000,0.775,1,25,25,us-night-0000025
simulated_annealing,min,10000,-1,3,20225012,20225012,-1,0.308063,-1.000000,0.492,1,25,25,us-night-0000025
simulated_annealing,max,1000,-1,3,58225552,58225552,-1,0.886878,-1.000000,0.552,1,25,25,us-night-0000025
simulated_annealing,max,5000,-1,3,58225552,58225552,-1,0.886878,-1.000000,0.564,1,25,25,us-night-0000025
simulated_annealing,max,10000,-1,3,58225552,58225552,-1,0.886878,-1.000000,0.545,1,25,25,us-night-0000025
simulated_annealing,min,1000,-1,3,91064900118,91064900118,-1,0.357475,-1.000000,1.041,1,25,25,stars-0000025
simulated_annealing,min,5000,-1,3,91064900118,91064900118,-1,0.357475,-1.000000,1.017,1,25,25,stars-0000025
simulated_annealing,min,10000,-1,3,91064900118,91064900118,-1,0.357475,-1.000000,1.103,1,25,25,stars-0000025
simulated_annealing,max,1000,-1,3,224294943016,224294943016,-1,0.880468,-1.000000,0.677,1,25,25,stars-0000025
simulated_annealing,max,5000,-1,3,224294943016,224294943016,-1,0.880468,-1.000000,0.617,1,25,25,stars-0000025
simulated_annealing,max,10000,-1,3,224294943016,224294943016,-1,0.880468,-1.000000,0.794,1,25,25,stars-0000025
simulated_annealing,min,1000,-1,3,15286462,15286462,-1,0.273223,-1.000000,1.003,1,25,25,euro-night-0000025
simulated_annealing,min,5000,-1,3,15286462,15286462,-1,0.273223,-1.000000,1.115,1,25,25,euro-night-0000025
simulated_annealing,min,10000,-1,3,15286462,15286462,-1,0.273223,-1.000000,0.894,1,25,25,euro-night-0000025
simulated_annealing,max,1000,-1,3,47616440,47616440,-1,0.851073,-1.000000,0.539,1,25,25,euro-night-0000025
simulated_annealing,max,5000,-1,3,47616440,47616440,-1,0.851073,-1.000000,0.479,1,25,25,euro-night-0000025
simulated_annealing,max,10000,-1,3,47616440,47616440,-1,0.851073,-1.000000,0.547,1,25,25,euro-night-0000025
simulated_annealing,min,1000,-1,3,621722,621722,-1,0.393060,-1.000000,0.559,1,25,25,uniform-0000025-1
simulated_annealing,min,5000,-1,3,621722,621722,-1,0.393060,-1.000000,0.518,1,25,25,uniform-0000025-1
